method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,2,3.0,2024-Q2,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,38.12882905072895,0.5625,,,
Poisson-MDSS,2,3.0,2024-Q2,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,103.14549026035326,0.0625,0.14285714285714285,1.0,0.14285714285714285
Poisson-MDSS,2,3.0,2024-Q3,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,45.477650956900845,0.8125,,,
Poisson-MDSS,2,3.0,2024-Q3,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,472.7758277533019,0.0625,0.1111111111111111,1.0,0.1111111111111111
Poisson-MDSS,2,3.0,2024-Q4,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,52.118490051564045,0.5,,,
Poisson-MDSS,2,3.0,2024-Q4,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,0.0,1.0,0.0,0.0,
Poisson-MDSS,2,3.0,2024-Q1,1,clean,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,54.08250092815043,0.5,,,
Poisson-MDSS,2,3.0,2024-Q1,1,injected,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,33.14958711164676,0.5625,0.0,0.0,
Poisson-MDSS,2,3.0,2024-Q2,1,clean,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,128.98832434887166,0.0625,,,
Poisson-MDSS,2,3.0,2024-Q2,1,injected,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,123.55541539912367,0.0625,0.07692307692307693,0.5,0.08333333333333333
Poisson-MDSS,2,3.0,2024-Q3,1,clean,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,73.43353537962406,0.6875,,,
Poisson-MDSS,2,3.0,2024-Q3,1,injected,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,0.0,1.0,0.0,0.0,
Poisson-MDSS,2,3.0,2024-Q4,1,clean,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,189.77846249592676,0.125,,,
Poisson-MDSS,2,3.0,2024-Q4,1,injected,"{'loss_census_division': ['West North Central'], 'new_renewal': ['Renewal']}",False,48.693763207026436,0.5,0.1111111111111111,0.5,0.125
Poisson-MDSS,3,1.5,2022-Q1,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,1.8572770404571202,0.8125,,,
Poisson-MDSS,3,1.5,2022-Q1,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,62.690317755602265,0.125,0.16666666666666666,1.0,0.16666666666666666
